2024-04-05T18:36:15.868Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:36:18.765Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:36:20.176Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:36:19 GMT","Signature":"iEskwuhKVVky84+BpbquK42edkQ=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-04-05T18:37:30.869Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:37:32.763Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:37:34.863Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:37:33 GMT","Signature":"6OHHcYMjWxdBsTZ5S2N/9/luoj8=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-04-05T18:42:56.762Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:57:00&endTime=2024-04-05%2000:12:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:42:58.366Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:57:00&endTime=2024-04-05%2000:12:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:43:00.066Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:42:58 GMT","Signature":"LuKi6FETPyqg9lVTN41j8JdgJuM=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-11-02T07:30:54.831Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:54.924Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:55.089Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:55.089Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:55.175Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:55.334Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:55.334Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:55 GMT","Signature":"JL20j4991r5oaXFwkqZb3L9YnVw=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:55.421Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:55.601Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:55.601Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:55.696Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:55.849Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:55.850Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:55.938Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:56.104Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:55 GMT","Signature":"JL20j4991r5oaXFwkqZb3L9YnVw=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:56.103Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:56.195Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:56.364Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:56.365Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:56.455Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:56.617Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
